Country,Position,Date,Song title,Song author,Country,Genre
Canada,13,2022-11-12,As It Was,Harry Styles,England,Pop
Canada,14,2022-11-12,Numb,Marshmello & Khalid,US,R&B/Soul
Canada,15,2022-11-12,I Like You (A Happier Song),Post Malone & Doja Cat,US,
Canada,16,2022-11-12,Vigilante Shit,Taylor Swift,US,Pop
Canada,17,2022-11-12,Hold Me Closer,Elton John & Britney Spears,US,Dance
Canada,18,2022-11-12,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,19,2022-11-12,Question...?,Taylor Swift,US,Pop
Canada,20,2022-11-12,Shirt,SZA,US,R&B/Soul
Canada,1,2022-10-15,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,2,2022-10-15,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,3,2022-10-15,Sunroof,Nicky Youre & Dazy,US,Pop
Canada,4,2022-10-15,I Ain't Worried,OneRepublic,US,Pop
Canada,5,2022-10-15,As It Was,Harry Styles,England,Pop
Canada,6,2022-10-15,Numb,Marshmello & Khalid,US,R&B/Soul
Canada,7,2022-10-15,I Like You (A Happier Song),Post Malone & Doja Cat,US,
Canada,8,2022-10-15,Late Night Talking,Harry Styles,England,Pop
Canada,9,2022-10-15,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,10,2022-10-15,About Damn Time,Lizzo,US,Pop
Canada,11,2022-10-15,Hold Me Closer,Elton John & Britney Spears,US,Dance
Canada,12,2022-10-15,Bad Habit,Steve Lacy,US,R&B/Soul
Canada,13,2022-10-15,Super Freaky Girl,Nicki Minaj,US,Hip-Hop/Rap
Canada,14,2022-10-15,HeatWaves,Glass Animals,GB,Alternative
Canada,15,2022-10-15,Vegas,Doja Cat,US,Pop
Canada,16,2022-10-15,Under The Influence,Chris Brown,US,R&B/Soul
Canada,17,2022-10-15,The Kind Of Love We Make,Luke Combs,US,Country
Canada,18,2022-10-15,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,US,Pop
Canada,19,2022-10-15,Calm Down,Rema,GB,
Canada,20,2022-10-15,Something In The Orange,Zach Bryan,Seattle,Country
Chile,1,2023-08-12,Cabana,El Jordan 23,,
Chile,2,2023-08-12,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,3,2023-08-12,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,4,2023-08-12,Marisola,Cris MJ,,
Chile,5,2023-08-12,La Inocente,Feir & Mora,,
Chile,6,2023-08-12,Xq Tan Sola?,Nickoog Clk,,
Chile,7,2023-08-12,El Amor De Tu Vida,Gino Mella & Jairo Vera,,
Chile,8,2023-08-12,Si Supieras,Bayron Fire,,
Chile,9,2023-08-12,Roll Royce,Standly,,
Chile,10,2023-08-12,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,11,2023-08-12,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,12,2023-08-12,Pegate,Standly,,Latino
Chile,13,2023-08-12,Bailando,El Jordan 23,,
Chile,14,2023-08-12,Me Acorde De Ti,Pailita,Santiago,Música tropical
Chile,15,2023-08-12,Mi Bruja,Jere Klein & Drako Mafia,ES,
Chile,16,2023-08-12,Sheraton,El Jordan 23,,Urbano latino
Chile,17,2023-08-12,Tuyo,Mora,,Urbano latino
Chile,18,2023-08-12,512,Jhay Cortez & Mora,PR,
Chile,19,2023-08-12,Amarrame,Mon Laferte & Juanes,MX,
Chile,20,2023-08-12,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,1,2023-07-15,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,2,2023-07-15,Marisola,Cris MJ,,
Chile,3,2023-07-15,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,4,2023-07-15,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,5,2023-07-15,La Inocente,Feir & Mora,,
Chile,6,2023-07-15,Xq Tan Sola?,Nickoog Clk,,
Chile,7,2023-07-15,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,8,2023-07-15,Cabana,El Jordan 23,,
Chile,9,2023-07-15,El Amor De Tu Vida,Gino Mella & Jairo Vera,,
Chile,10,2023-07-15,Mi Bruja,Jere Klein & Drako Mafia,ES,
Chile,11,2023-07-15,Me Acorde De Ti,Pailita,Santiago,Música tropical
Chile,12,2023-07-15,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,13,2023-07-15,Si Supieras,Bayron Fire,,
Chile,14,2023-07-15,Bailando,El Jordan 23,,
Chile,15,2023-07-15,Sheraton,El Jordan 23,,Urbano latino
Chile,16,2023-07-15,Roll Royce,Standly,,
Chile,17,2023-07-15,Pegate,Standly,,Latino
Chile,18,2023-07-15,Tuyo,Mora,,Urbano latino
